Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert,MedAge,UrbanPop,WorldShare,PopChange
Laos,7293542,0.0148,106105,32,230800,-14704,2.7,24,36%,0.09%,1.48
Paraguay,7147553,0.0125,87902,18,397300,-16556,2.4,26,62%,0.09%,1.25
Bulgaria,6939018,-0.0074,-51674,64,108560,-4800,1.6,45,76%,0.09%,-0.74
Libya,6887247,0.0138,93840,4,1759540,-1999,2.3,29,78%,0.09%,1.38
Lebanon,6819976,-0.0044,-30268,667,10230,-30012,2.1,30,78%,0.09%,-0.44
Nicaragua,6638075,0.0121,79052,55,120340,-21272,2.4,26,57%,0.08%,1.21
Kyrgyzstan,6542426,0.0169,108345,34,191800,-4000,3,26,36%,0.08%,1.69
El Salvador,6491923,0.0051,32652,313,20720,-40539,2.1,28,73%,0.08%,0.51
Turkmenistan,6046292,0.015,89111,13,469930,-5000,2.8,27,53%,0.08%,1.5
Singapore,5858322,0.0079,46005,8358,700,27028,1.2,42,N.A.,0.08%,0.79
Denmark,5795780,0.0035,20326,137,42430,15200,1.8,42,88%,0.07%,0.35
Finland,5542237,0.0015,8564,18,303890,14000,1.5,43,86%,0.07%,0.15
Congo,5540555,0.0256,137579,16,341500,-4000,4.5,19,70%,0.07%,2.56
Slovakia,5460109,0.0005,2629,114,48088,1485,1.5,41,54%,0.07%,0.05
Norway,5428594,0.0079,42384,15,365268,28000,1.7,40,83%,0.07%,0.79
Oman,5128058,0.0265,131640,16,309500,87400,2.9,31,87%,0.07%,2.65
State of Palestine,5121112,0.0241,119994,847,6020,-10563,3.7,21,80%,0.07%,2.41
Costa Rica,5102158,0.0092,46557,100,51060,4200,1.8,33,80%,0.07%,0.92
Liberia,5077411,0.0244,120307,53,96320,-5000,4.4,19,53%,0.06%,2.44
Ireland,4947267,0.0113,55291,72,68890,23604,1.8,38,63%,0.06%,1.13
Central African Republic,4843954,0.0178,84582,8,622980,-40000,4.8,18,43%,0.06%,1.78
New Zealand,4829021,0.0082,39170,18,263310,14881,1.9,38,87%,0.06%,0.82
Mauritania,4669775,0.0274,123962,5,1030700,5000,4.6,20,57%,0.06%,2.74
Panama,4326296,0.0161,68328,58,74340,11200,2.5,30,68%,0.06%,1.61
Kuwait,4281320,0.0151,63488,240,17820,39520,2.1,37,N.A.,0.05%,1.51
Croatia,4100719,-0.0061,-25037,73,55960,-8001,1.4,44,58%,0.05%,-0.61
Moldova,4032294,-0.0023,-9300,123,32850,-1387,1.3,38,43%,0.05%,-0.23
